Device,Max Clients,Unique Clients,Building
Holmes 140,2,2,Holmes Hall
Holmes 102B,0,0,Holmes Hall
Holmes 406A,0,0,Holmes Hall
Holmes 487,7,8,Holmes Hall
Holmes 206A,2,2,Holmes Hall
Holmes 411 Hallway,1,4,Holmes Hall
Holmes 141 Hallway,2,26,Holmes Hall
Holmes 102,0,0,Holmes Hall
Holmes 241,0,0,Holmes Hall
Holmes 210,4,4,Holmes Hall
Holmes 211 Mauka,0,0,Holmes Hall
Holmes 144,0,2,Holmes Hall
Holmes 2nd Fl Ewa Commons,4,15,Holmes Hall
Holmes 240 DH,2,3,Holmes Hall
Holmes 244 Makai,1,2,Holmes Hall
Holmes 101 Hallway,1,27,Holmes Hall
Holmes 143C,0,1,Holmes Hall
HIG Makai-DH Exterior,3,27,HIG
Holmes 206 Hallway,5,6,Holmes Hall
Holmes 412,0,0,Holmes Hall
PSB 111,0,3,Physical Science Building
PSB 217 Makai Ewa,0,0,Physical Science Building
Watanabe 213 Hallway,4,6,Watanabe
PSB 402 Hallway,1,3,Physical Science Building
PSB 110,0,5,Physical Science Building
PSB 213,1,1,Physical Science Building
PSB 102 Hallway,1,9,Physical Science Building
PSB 208 DH,1,1,Physical Science Building
PSB Ewa Exterior Makai,7,58,Physical Science Building
Watanabe 209 Hallway,2,6,Watanabe
PSB 202 Hallway,0,2,Physical Science Building
Watanabe 112 DH,1,6,Watanabe
Watanabe 110,1,1,Watanabe
PSB 217 Mauka Ewa,0,1,Physical Science Building
PSB 217 Makai DH,1,2,Physical Science Building
PSB 210A,1,1,Physical Science Building
PSB 214,0,1,Physical Science Building
Watanabe 229 Hallway,1,12,Watanabe
PSB Ewa Exterior Mauka,2,33,Physical Science Building
PSB 112,0,5,Physical Science Building
PSB 211,0,0,Physical Science Building
PSB 407 Hallway,0,1,Physical Science Building
PSB 306 Hallway,0,3,Physical Science Building
PSB 319 Hallway,6,7,Physical Science Building
PSB 311 DH,1,1,Physical Science Building
Watanabe 109,2,6,Watanabe
PSB 310 DH,0,0,Physical Science Building
Watanabe 333 Hallway,1,1,Watanabe
Watanabe 412 Hallway,4,4,Watanabe
Watanabe 330 Hallway,1,3,Watanabe
Watanabe 437 Hallway,0,0,Watanabe
PSB 317,1,3,Physical Science Building
PSB 310 Ewa,0,1,Physical Science Building
Bilger Addition 307 Hallway,2,6,Bilger Addition
Bilger Addition 402 Hallway,1,15,Bilger Addition
Bilger Addition 511,3,6,Bilger Addition
Bilger Addition 407 Hallway,1,9,Bilger Addition
Krauss 101 (Outside 101D),0,5,Krauss
Krauss 118,2,10,Krauss
Krauss 102C,1,46,Krauss
Krauss 113 Conference Room,1,7,Krauss
Krauss 102D,1,8,Krauss
Burns 4020,2,2,Burns
Kennedy 104 Hallway,1,2,Kennedy
Kennedy 204,0,0,Kennedy
Kennedy Mezzanine,1,1,Kennedy
Kennedy 111 Hallway,0,0,Kennedy
Kennedy Theatre Box Office (rm 207),1,2,Kennedy
Kennedy Landing Outside 404,0,1,Kennedy
Student Health 103 Hallway,3,8,Student Health
Student Health 154 Hallway,6,13,Student Health
Student Health 108,3,6,Student Health
Student Health 146,5,6,Student Health
Kennedy 209 Makai,1,1,Kennedy
Kennedy 210B,0,2,Kennedy
Student Health 122 Hallway,5,23,Student Health
Student Health 114 Hallway,1,2,Student Health
Student Health 111 Hallway,0,2,Student Health
Student Health 136 Hallway,3,15,Student Health
Building 37 Ewa,1,6,Building 37
Building 37 DH,1,6,Building 37
Parking Kiosk EWC,3,25,Entrance Kiosks
MSB 434 Hallway,2,3,Marine Science Building
MSB 312,1,1,Marine Science Building
MSB 102,0,0,Marine Science Building
MSB 317C Hallway,0,5,Marine Science Building
MSB 114 DH Makai,0,0,Marine Science Building
MSB 113,3,5,Marine Science Building
MSB 229 Hallway,0,3,Marine Science Building
MSB 401,0,1,Marine Science Building
MSB 617 Hallway,0,2,Marine Science Building
MSB 414 Hallway,0,0,Marine Science Building
MSB 532 Hallway,2,2,Marine Science Building
MSB 620 Hallway,0,1,Marine Science Building
MSB 100 Hallway,1,5,Marine Science Building
MSB 428 Hallway,0,0,Marine Science Building
MSB 100 DH Makai,0,0,Marine Science Building
MSB 114 Ewa Mauka,0,0,Marine Science Building
MSB 513 Hallway,1,2,Marine Science Building
MSB 301 Hallway,1,3,Marine Science Building
MSB 502,1,1,Marine Science Building
MSB 303,1,1,Marine Science Building
MSB 422,2,2,Marine Science Building
MSB 421 Hallway,0,0,Marine Science Building
MSB 227,1,2,Marine Science Building
MSB 507 Hallway,0,1,Marine Science Building
MSB 307,1,2,Marine Science Building
